INDICATOR_CODE,INDICATOR_NAME,AGENCY,CATEGORY,LOW_LOWER,LOW_UPPER,MEDIUM_LOWER,MEDIUM_UPPER,HIGH_LOWER,HIGH_UPPER
BRGY_V_11,Dropout rate by elementary schools per barangay,UNICEF,Vulnerability,0,0.0638,,,0.063801,1
BRGY_V_12,Number of child labour cases per barangay,UNICEF,Vulnerability,0,15,16,25,26,9999999
BRGY_V_13_1,Percentage of children under 18 years old with disabilities per barangay,UNICEF,Vulnerability,0,0.1,0.1001,0.15,0.1501,1
BRGY_V_13_2,Percentage of adults aged 18-59 years old with disabilities per barangay,UNICEF,Vulnerability,0,0.1,0.1001,0.15,0.1501,1
BRGY_V_14_3,Percentage of senior citizens aged 60 years old and above with disabilities per barangay,UNICEF,Vulnerability,0,0.1,0.1001,0.15,0.1501,1
BRGY_V_15,Percentage of households in barangay with incomes below poverty threshold,UNICEF,Vulnerability,0,0.15,0.1501,0.25,0.2501,1
BRGY_C_1,Barangays with organized and trained DRRM teams,UNICEF,Capacity,0,0,1,1,2,2
BRGY_C_2,Barangays with a community-managed Early Warning System in place,UNICEF,Capacity,,,,,,
BRGY_C_3,Barangays that have done risk assessment and drafter their DRRM Plans,UNICEF,Capacity,,,,,,
BRGY_C_4,Barangays that have evacuation plans and done emergency drills as part of preparedness,UNICEF,Capacity,,,,,,
BRGY_C_5,"Barangays that have Civil Society Organizations (CSO), Non-Government Organizations (NGO), People's Organization and Community-Based Organizations (CBO) involved in DRR Work",UNICEF,Capacity,,,,,,
BRGY_C_6,Schools with updated preparedness plans as part of School Improvement Plan (SIP),UNICEF,Capacity,,,,,,
BRGY_C_7,Schools that have evacuation plans and done emergency drills during the year,UNICEF,Capacity,,,,,,
BRGY_C_8,Barangays with organised and trained Infant and Young Feeding (IYCF) counsellors,UNICEF,Capacity,,,,,,
BRGY_C_9,Barangays with functional out-patient therapeutic centers for MAM (wasted) and SAM (severely wasted),UNICEF,Capacity,,,,,,
BRGY_C_10,Barangays with functional Community Health Teams (CHT),UNICEF,Capacity,,,,,,
BRGY_C_11,Barangays with organised WASH committees and contingency plans,UNICEF,Capacity,,,,,,
BRGY_C_12,Barangays with functional Barangay Council for the Protection of Children (BCPC),UNICEF,Capacity,,,,,,
BRGY_C_13,Barangays with operational referral system for incidence of child abuse,UNICEF,Capacity,,,,,,
